Timestamp,Number of Friends,Approximate No of Friend Requests sent in a week,Approximate No of Friend Requests received in a week,Approximate No of messages sent in a week,Approximate No of messages received in a week,Approximate No of tags in a week,Approximate No of urls in messages sent/received in a week,Approximate No of posts in a week,message
4/25/2015 17:40,448,2,2,50,70,2,10,1,If you don't have any referrals in Microsoft then apply for it during career fair in September
4/25/2015 17:45,438,10,15,100,150,1,10,2,Write notes in your own words
4/25/2015 17:52,700,1,1,10,20,5,5,1,Hello world
4/25/2015 18:00,337,1,1,20,20,0,0,0,How are you
4/25/2015 18:09,1044,1,1,500,500,1,1,3,Use the dictionary to check the meaning of any unfamiliar words
4/25/2015 18:18,523,1,2,50,50,5,10,0,all the best
4/25/2015 18:24,1100,1,2,15,17,0,0,0,kick start
4/25/2015 18:52,523,1,1,25,25,5,5,3,have a nice day
4/25/2015 19:06,621,3,5,230,230,8,5,2,Open up the discussion
4/25/2015 19:06,791,5,10,600,600,10,10,3,I love you
4/25/2015 19:09,613,1,1,10,10,2,5,1,all is well
4/25/2015 19:12,586,1,1,2,2,2,5,1,please vote for me
4/25/2015 20:35,483,1,2,10,10,1,1,1,mumbai is clean city
4/25/2015 20:58,500,1,1,10,10,1,1,30,india wins the match
4/25/2015 21:10,700,5,4,500,500,5,100,4,have you moved to new place
4/25/2015 21:43,500,1,1,25,25,5,1,1,sun rises in the east
4/25/2015 22:47,800,5,2,12,8,2,3,15,I want to a job in google
4/25/2015 22:49,400,1,1,25,15,10,5,30,weather is very bad in newyork
4/25/2015 23:10,395,1,1,20,20,1,8,1,game of thrones seaason 2 episode 1 is awesome
4/25/2015 23:13,500,1,2,20,20,5,5,10,when will your exams start
4/25/2015 23:27,300,1,3,5,5,1,1,1,fan is not working properly
4/25/2015 23:41,740,2,2,20,20,2,5,1,please sit on the chair
4/25/2015 23:45,380,2,2,2,5,1,3,1,keep your clothes properly
4/26/2015 0:35,485,2,2,50,40,10,5,6,jaya lalitha is released from jail
4/26/2015 0:54,625,3,2,10,10,0,1,1,have you bought a new dress
4/26/2015 2:12,551,10,20,1000,2000,5,10,5,I had a very good massage today
4/26/2015 2:36,715,10,10,500,500,1,20,2,is he your relative
4/26/2015 2:44,500,1,1,10,10,0,1,1,that conversation was so bad
4/26/2015 2:47,392,1,6,10,10,1,4,1,where do you live
4/26/2015 2:48,400,1,2,1,1,0,5,1,my friend's parents came to my place
4/26/2015 2:55,353,1,1,100,50,10,10,1,I am going to graduate in next december
4/26/2015 3:27,500,1,4,50,50,4,5,7,send this packet to mona
4/27/2015 1:55,300,1,1,1000,1000,30,200,2,is your preparation done
4/27/2015 4:52,300,1,2,50,50,2,10,1,clothing store next to your door is awesome
4/27/2015 11:24,200,5,7,500,500,5,2,100,please attend the function
5/8/2015 15:23,410,5,8,150,200,5,10,2,my ex boyfriend paired with my boyfriend ex-girlfirend
5/8/2015 15:41,250,1,1,5,10,0,1,1,leap sensor is waste
5/8/2015 17:31,610,2,2,20,20,5,4,5,ferdman is a very good teacher
5/8/2015 17:49,900,1,3,5,10,50,10,1,How many frineds fo you have in facebook
5/9/2015 7:47,450,1,5,3,3,1,1,1,technology is having too much impact on kids
5/9/2015 15:42,200,1,1,20,25,0,1,1,is this saree designed by you
5/9/2015 18:12,469,1,1,4,4,0,1,3,Just let me know when u an
5/9/2015 18:33,400,1,1,15,25,2,1,2,"I heard the same, no difference"
5/9/2015 19:37,195,1,1,50,50,5,5,2,when is next doctor visit
5/9/2015 23:01,1100,10,30,10,20,5,10,5,my height is 5'8'
5/10/2015 0:28,540,3,7,10,20,4,8,2,"listen to me,otherwise I ll ditch you"
5/10/2015 0:29,540,3,7,10,20,4,8,2,So i am type casting it to it
5/10/2015 1:10,300,1,2,1,1,1,1,1,when is your interview
5/10/2015 1:36,600,1,1,2,2,2,1,1,I am going to india in august
5/10/2015 8:58,150,2,5,10,20,5,5,15,ok his dad pinged me..i think he was calling sai and he didnt pick up
5/10/2015 12:37,550,1,2,10,10,1,1,1,tell him to check once he wakes up
5/10/2015 13:09,336,5,10,50,100,10,2,5,did u do ur room selection
5/10/2015 13:39,585,1,15,3,20,0,5,1,no we are going to audit tmrw evening
5/10/2015 22:24,500,1,3,5,2,0,3,1,and make sure ur space is not showing as vacant
5/10/2015 23:38,330,1,2,1,3,3,3,2,and no need to give roommate pref since same room
5/11/2015 9:55,10,6,4,5,6,1,1,20,what happened to your presentation
5/11/2015 18:28,500,1,1,1,1,0,1,1,They actually defined another date type for it
5/13/2015 21:40,82,1,1,10,10,1,1,15,If u dnt mind if u r free
5/14/2015 16:46,430,4,8,100,100,4,3,1,Cause when he wakes up he will know right
5/14/2015 16:52,631,7,18,89,100,1,1,1,Can u try that
5/14/2015 16:52,245,10,19,10,12,1,1,1,I'm actually cooking
5/14/2015 16:56,591,2,10,150,100,1,1,1,I am sorry to say all people and mortgages do NOT qualify
5/14/2015 16:57,252,10,5,100,100,1,10,4,"then if u have any quetions,let me know"
5/14/2015 16:57,252,10,5,100,100,1,10,4,where does your girl friend stay
5/14/2015 17:01,989,1,10,40,30,1,20,5,Did professor give you marks
5/14/2015 17:01,55,20,5,150,30,0,40,20,Three semi whistles have come
