Timestamp,Number of Friends,Approximate No of Friend Requests sent in a week,Approximate No of Friend Requests received in a week,Approximate No of messages sent in a week,Approximate No of messages received in a week,Approximate No of tags in a week,Approximate No of urls in messages sent/received in a week,Approximate No of posts in a week,message
4/25/15 17:40,448,2,2,50,70,2,10,1,"If you don't have any referrals in Microsoft then apply for it during career fair in September;Hey, are you still going to SSN office on Monday;Do you guys have more space"
4/25/15 17:45,438,10,15,100,150,1,10,2,Write notes in your own words
4/25/15 17:52,700,1,1,10,20,5,5,1,Actually I'm not going on monday;I'm going on tuesday;I think Sowmy is going on monday
4/25/15 18:00,337,1,1,20,20,0,0,0,"How are you;oh, he was okay with Tuesday too;he was telling me that you might come too"
4/25/15 18:09,1044,1,1,500,500,1,1,3,Use the dictionary to check the meaning of any unfamiliar words;and we three will go;Im waiting for authorization letter from vis;Most probably ill get it on monday
4/25/15 18:18,523,1,2,50,50,5,10,0,all the best;so that i can join u guys on tuesday;alright man
4/25/15 18:24,1100,1,2,15,17,0,0,0,kick start;r u going to ssn office tomorrow;I want too
4/25/15 18:52,523,1,1,25,25,5,5,3,have a nice day;I don't have a ride yet;i also want to go tomorrow
4/25/15 19:06,621,3,5,230,230,8,5,2,Open up the discussion;There is some guy who drives people right;ya but he has some meeting it seems tomorrow
4/25/15 19:06,791,5,10,600,600,10,10,3,I love you;Ah unsure emoticon;he can drive us tomorrow afternoon
4/25/15 19:09,613,1,1,10,10,2,5,1,all is well;That's good for me;but we should be 3
4/25/15 19:12,586,1,1,2,2,2,5,1,please vote for me;Do you know Akhilesh;He wanted to go too
4/25/15 20:35,483,1,2,10,10,1,1,1,mumbai is clean city;ya he went now to collect i20;he will confirm once he gets it
4/25/15 20:58,500,1,1,10,10,1,1,30,india wins the match;ill ask gaurav once akhilesh confirms;Alright. Sounds good!
4/25/15 21:10,700,5,4,500,500,5,100,4,have you moved to new place;akhilesh will be joining us;i checked with gaurav
4/25/15 21:43,500,1,1,25,25,5,1,1,sun rises in the east;we will start at 11;is that ok for you;cool.. Ill confirm to him
4/25/15 22:47,800,5,2,12,8,2,3,15,"I want to a job in google;hey man, I have a class till 2;from 1 to 2:30 actually"
4/25/15 22:49,400,1,1,25,15,10,5,30,"weather is very bad in newyork;I am not sure if there is going to be a quiz in the class unsure emoticon;we can't get back before 1, can we?"
4/25/15 23:10,395,1,1,20,20,1,8,1,game of thrones seaason 2 episode 1 is awesome
4/25/15 23:13,500,1,2,20,20,5,5,10,when will your exams start;ohh.. not sure;it takes min 3 hrs
4/25/15 23:27,300,1,3,5,5,1,1,1,fan is not working properly;ah unsure emoticon;can we go after 2:30
4/25/15 23:41,740,2,2,20,20,2,5,1,"please sit on the chair;hmm.. office closes at 4;or earlier in the day, may be 9 or something"
4/25/15 23:45,380,2,2,2,5,1,3,1,"keep your clothes properly;that guy has some meeting it seems at 9;okay, 11 is good then"
4/26/15 0:35,485,2,2,50,40,10,5,6,jaya lalitha is released from jail;be ready by 11 and come to chapin commons;Tuesday 8:10am
4/26/15 0:54,625,3,2,10,10,0,1,1,have you bought a new dress;Sure dude;At commons dude
4/26/15 2:12,551,10,20,1000,2000,5,10,5,"I had a very good massage today;did you shifted to chapin;not yet, im in maryland"
4/26/15 2:36,715,10,10,500,500,1,20,2,is he your relative;ill be shifting on saturday;you got any mail from regina
4/26/15 2:44,500,1,1,10,10,0,1,1,that conversation was so bad;what abt u;i shifted yesterday
4/26/15 2:47,392,1,6,10,10,1,4,1,"where do you live;yes, i got;ok. ur room no"
4/26/15 2:48,400,1,2,1,1,0,5,1,my friend's parents came to my place;you got any mail today regarding;Liability Notification
4/26/15 2:55,353,1,1,100,50,10,10,1,"I am going to graduate in next december;I mean what if our rooms in shomburg do not get filled;i dont think so, that is for people movin offcampus"
4/26/15 3:27,500,1,4,50,50,4,5,7,send this packet to mona;You wanna go to the ssn office on Monday right;We are planning to leave early morning at 7:30 AM
4/27/15 1:55,300,1,1,1000,1000,30,200,2,is your preparation done;And it's going to be $11 per person for the entire trip;Just spoke to Sowmy
4/27/15 4:52,300,1,2,50,50,2,10,1,clothing store next to your door is awesome;we both will be joining;We have space for 2 more for Monday so ask your friends as well
4/27/15 11:24,200,5,7,500,500,5,2,100,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
5/8/15 15:23,410,5,8,150,200,5,10,2,my ex boyfriend paired with my boyfriend ex-girlfirend;I'm not coming to SSN office on monday;I still didnot get the authorization letter from VIS
5/8/15 15:41,250,1,1,5,10,0,1,1,leap sensor is waste;I hoped i will get it by today;i hope to get it on monday
5/8/15 17:31,610,2,2,20,20,5,4,5,"ferdman is a very good teacher;let me know if u guys are driving on tuesday;too, ill join"
5/8/15 17:49,900,1,3,5,10,50,10,1,How many frineds fo you have in facebook;Yes we can go on Tuesday;Just let Sowmy know if it's okay for him
5/9/15 7:47,450,1,5,3,3,1,1,1,technology is having too much impact on kids;Or if you can get some other friends to go in Tuesday
5/9/15 15:42,200,1,1,20,25,0,1,1,is this saree designed by you;I guess sowmy wants to go on monday only;Ill let u know if anyone else is up for tuesday
5/9/15 18:12,469,1,1,4,4,0,1,3,Just let me know when u an;did you guys drive today;I got my letter from vis
5/9/15 18:33,400,1,1,15,25,2,1,2,"I heard the same, no difference;I'm planning to go tomorrow;let me know if u r driving"
5/9/15 19:37,195,1,1,50,50,5,5,2,when is next doctor visit;yes we went today;If you can get at least 3 people I can drive you guys again this week
5/9/15 23:01,1100,10,30,10,20,5,10,5,my height is 5’8';I am free on Wednesday and Friday to drive;I think if you just post on the FB group
5/10/15 0:28,540,3,7,10,20,4,8,2,"listen to me,otherwise I ll ditch you;you will get people who will be willing to come;Wednesday, I have a 9AM meeting tomorrow"
5/10/15 0:29,540,3,7,10,20,4,8,2,So i am type casting it to it;ohhk. i have exam on wednesday;we can do Friday then
5/10/15 1:10,300,1,2,1,1,1,1,1,when is your interview;Or maybe tomorrow afternoon;Or maybe tomorrow afternoon
5/10/15 1:36,600,1,1,2,2,2,1,1,I am going to india in august;ohhk. i have exam on wednesday;we can do Friday then
5/10/15 8:58,150,2,5,10,20,5,5,15,ok his dad pinged me..i think he was calling sai and he didnt pick up;Or maybe tomorrow afternoon;till 4pm
5/10/15 12:37,550,1,2,10,10,1,1,1,tell him to check once he wakes up;lets see if there is any one planning to come tomorrow or friday;we are 3 people
5/10/15 13:09,336,5,10,50,100,10,2,5,did u do ur room selection;me prayag and akhilesh;we want to go tomorrow
5/10/15 13:39,585,1,15,3,20,0,5,1,no we are going to audit tmrw evening;lets go tomorrow afternoon;My meeting gets over at 11;We can leave then
5/10/15 22:24,500,1,3,5,2,0,3,1,and make sure ur space is not showing as vacant;is that okay;ya ok but do we have to wait for so much time in the queue
5/10/15 23:38,330,1,2,1,3,3,3,2,and no need to give roommate pref since same room;if we go afternoon;I think by 11 there wont be much of a wait
5/11/15 9:55,10,6,4,5,6,1,1,20,what happened to your presentation;typical wait is usually 30 mins even if you go early in the morning;You need to stand in the queue
5/11/15 18:28,500,1,1,1,1,0,1,1,They actually defined another date type for it;so its good to go early or sometime in the afternoon;just look at their lunch time
5/13/15 21:40,82,1,1,10,10,1,1,15,If u dnt mind if u r free;let me know when their lunch time is;Plan to leave around 11-11:30
